Song name,YouTube URL - Original Song,YouTube URL - Cover Song 1,YouTube URL - Cover Song 2,YouTube URL - Cover Song 3,YouTube URL - Cover Song 4,YouTube URL - Cover Song 5,YouTube URL - Cover Song 6,YouTube URL - Cover Song 7,YouTube URL - Cover Song 8,YouTube URL - Cover Song 9,YouTube URL - Cover Song 10
a forest,https://www.youtube.com/watch?v=xik-y0xlpZ0,https://www.youtube.com/watch?v=tgvMPmkNPB4,,,,,,,,,
A Hazy shade of winter - Simon & Garfunkel,https://www.youtube.com/watch?v=dVA-1iJxRQI,https://www.youtube.com/watch?v=8cNeXWpTVlo,https://www.youtube.com/watch?v=ZTCrqXpKHec,,,,,,,,
ABBA - Slipping Through My Fingers,https://www.youtube.com/watch?v=hRr7qRb-7k4,https://www.youtube.com/watch?v=_1HhA-1QTcE,https://www.youtube.com/watch?v=8KmEFkHKF0c,https://www.youtube.com/watch?v=i4bbEWDgb8k,,,,,,,
ain't no mountain high enough,https://www.youtube.com/watch?v=ABfQuZqq8wg,https://www.youtube.com/watch?v=5_pmKPWLBrE,,,,,,,,,
always on my mind,https://www.youtube.com/watch?v=u9sRJ-eOHnc,https://www.youtube.com/watch?v=wDe60CbIagg,,,,,,,,,
American Pie,https://youtu.be/7yHTpGog0IY,https://youtu.be/X4RDB-mMDJg,,,,,,,,,
angel,https://www.youtube.com/watch?v=hbe3CQamF8k,https://www.youtube.com/watch?v=5VaRCjRpWBE,https://www.youtube.com/watch?v=Cdy3_WihNVY,,,,,,,,
another brick in the wall,https://www.youtube.com/watch?v=fvPpAPIIZyo,https://www.youtube.com/watch?v=xzkiJJ_NkD0,,,,,,,,,
another one bites the dust,https://www.youtube.com/watch?v=rY0WxgSXdEE&ab_channel=QueenOfficial,https://www.youtube.com/watch?v=4zDQ9TW1rcA&ab_channel=SchoolofRock,https://www.youtube.com/watch?v=XJcxoxsZ33U&ab_channel=WanderlustRock,,,,,,,,
Arctic Monkeys - Do I Wanna Know?,https://www.youtube.com/watch?v=bpOSxM0rNPM,https://www.youtube.com/watch?v=pNh8K3RiNrQ,https://www.youtube.com/watch?v=jY18sEHH6d0,https://www.youtube.com/watch?v=cxqO0ymdy0Q,,,,,,,
ashes to ashes,https://www.youtube.com/watch?v=HyMm4rJemtI,https://www.youtube.com/watch?v=EuspAu4FxuU,,,,,,,,,
baby love,https://www.youtube.com/watch?v=Yd43nWkgUzg,https://www.youtube.com/watch?v=8WtVvckb6Pk,,,,,,,,,
back in black,https://www.youtube.com/watch?v=kEAp_Z9cpZ4,https://www.youtube.com/watch?v=ykfSdhxK4oY,https://www.youtube.com/watch?v=f2p0xrY4CMs,,,,,,,,
bang bang,https://www.youtube.com/watch?v=OEFa4ztm9P0,https://www.youtube.com/watch?v=xyWHRC8A_uU,https://www.youtube.com/watch?v=fi_4YiPHGzc,,,,,,,,
beautiful delilah,https://www.youtube.com/watch?v=x0Xh_nsGsZs,https://www.youtube.com/watch?v=DJOV8t_beLg,,,,,,,,,
beggin,https://www.youtube.com/watch?v=d5AfvOk57bE,https://www.youtube.com/watch?v=sLgz57tguKo,https://www.youtube.com/watch?v=zrFI2gJSuwA,,,,,,,,
Billie Jean,https://www.youtube.com/watch?v=Zi_XLOBDo_Y,https://www.youtube.com/watch?v=kM5ywtImaSs,https://www.youtube.com/watch?v=UPrm9Kwdf-4,https://www.youtube.com/watch?v=-cjGimodRaA,,,,,,,
Black is the color of my true love's hair,https://www.youtube.com/watch?v=h_yA5l9Vghg,https://www.youtube.com/watch?v=cA5DsqQ0Fjg,https://www.youtube.com/watch?v=4W3L8CjSEPY,,,,,,,,
Black magic woman,https://youtu.be/9wT1s96JIb0,https://youtu.be/9cF4gBGw0Nc,https://youtu.be/8eQrDJrV8jc,https://youtu.be/xoi0TH9ql2w,,,,,,,
blue monday,https://www.youtube.com/watch?v=c1GxjzHm5us,https://www.youtube.com/watch?v=hc2WK7GhnEM,https://www.youtube.com/watch?v=aJZTfl3DmCU,https://www.youtube.com/watch?v=lbKX8VIv6aA,,,,,,,
Blue Oyster Cult - (Don't Fear) The Reaper,https://www.youtube.com/watch?v=Dy4HA3vUv2c,https://www.youtube.com/watch?v=DIv1FSYOoHY,https://www.youtube.com/watch?v=RjMEzBMiTJ4,https://www.youtube.com/watch?v=oF7mP2LASCo,,,,,,,
Bohemian Rhapsody,https://youtu.be/axAtWjn3MfI,https://youtu.be/ojRj2JK5oCI,https://youtu.be/9fTDV5cedJQ,,,,,,,,
born to be wild,https://www.youtube.com/watch?v=rMbATaj7Il8&list=PLihZ0w3tYuc9KKnggyggN03mki1CAtPcx&index=8&ab_channel=MaxShkiv,https://www.youtube.com/watch?v=aLufTdkxUCQ&ab_channel=GaboTube,https://www.youtube.com/watch?v=SqgM240GoU4&ab_channel=HinderVEVO,https://www.youtube.com/watch?v=gi6GcTnoZI0&ab_channel=DanVasc,,,,,,,
boys don't cry,https://www.youtube.com/watch?v=9GkVhgIeGJQ,https://www.youtube.com/watch?v=As-oIuviHFA,https://www.youtube.com/watch?v=m737vvN-sPU,,,,,,,,
Brother in arms,https://www.youtube.com/watch?v=jhdFe3evXpk,https://www.youtube.com/watch?v=yjxNZH0qIe0,,,,,,,,,
Brothers Johnson - Strawberry Letter 23,https://www.youtube.com/watch?v=f0bdLdTJdKI,https://www.youtube.com/watch?v=sbhIZe3smr0,https://www.youtube.com/watch?v=NpZVA77Q33U,https://www.youtube.com/watch?v=E1SVHL3IwkE,,,,,,,
california dreaming,https://youtu.be/6YAcOPPRpVY,https://youtu.be/0TFmncOtzcE,https://youtu.be/GlG-vN8i9Qc,https://youtu.be/_FpUcLzsuBU,https://youtu.be/N-aK6JnyFmk,https://youtu.be/0brk8a8v1BI,,,,,
californication,https://www.youtube.com/watch?v=YlUKcNNmywk,https://www.youtube.com/watch?v=N1annX5b5Qk,https://www.youtube.com/watch?v=f1iW734wGns,,,,,,,,
can't help falling in love,https://youtu.be/bi6KE1HThak,https://youtu.be/vGJTaP6anOU,https://youtu.be/PDboeQfAsww,https://youtu.be/vUdloUqZa7w,https://youtu.be/qULN55-7CNE,https://youtu.be/VqLU4wPzDVg,,,,,
cant take my eyes off of you,https://youtu.be/Dv9iLR5Cqio,https://youtu.be/wVzvXW9bo5U,https://youtu.be/BT4GIljqr-A,https://youtu.be/4lQZ3zd1IKg,https://youtu.be/J36z7AnhvOM,,,,,,
careless whisper,https://www.youtube.com/watch?v=izGwDsrQ1eQ,https://www.youtube.com/watch?v=lVXziMFEqX0,,,,,,,,,
Charles Aznavour - She,https://www.youtube.com/watch?v=e1uqfO2-oJA,https://www.youtube.com/watch?v=O040xuq2FR0,https://www.youtube.com/watch?v=HtAi-fTCUKM,,,,,,,,
china girl,https://www.youtube.com/watch?v=VrERLeFseDA,https://www.youtube.com/watch?v=9iTNrtU15Xk,,,,,,,,,
City of stars,https://www.youtube.com/watch?v=GTWqwSNQCcg,https://www.youtube.com/watch?v=R4T9iQ9TRFU,,,,,,,,,
Clint Eastwood,https://www.youtube.com/watch?v=1V_xRb0x9aw,https://www.youtube.com/watch?v=XmAF0971WqE,,,,,,,,,
Clocks,https://www.youtube.com/watch?v=PFW2uSCZ0uE,https://www.youtube.com/watch?v=YXhpzE4VXFE,https://www.youtube.com/watch?v=g_8sB_aaHnU,,,,,,,,
comfortably numb,https://www.youtube.com/watch?v=_FrOQC-zEog,https://www.youtube.com/watch?v=jRk5Gjl_cAg,https://www.youtube.com/watch?v=FIDqurjPXEA,,,,,,,,
creep,https://youtu.be/l5t9IXtTr6g,https://youtu.be/FVdDFX7RrN0,https://youtu.be/m3lF2qEA2cw,https://youtu.be/XFkzRNyygfk,https://youtu.be/lWDgDwkNba0,https://youtu.be/WRDbsLYSwe0,https://youtu.be/rMbNcdoFDRs,,,,
cry me a river,https://www.youtube.com/watch?v=jA5bc4q_Om8,https://www.youtube.com/watch?v=rvhO1oDeXRQ,https://www.youtube.com/watch?v=9VrXF729ax4,https://www.youtube.com/watch?v=5TMVTb5KR9E,,,,,,,
Dance Monkey,https://www.youtube.com/watch?v=i57l-eA_NNs,https://www.youtube.com/watch?v=xesuNa-UsnU,https://www.youtube.com/watch?v=JFS-FtLbBGM,https://www.youtube.com/watch?v=4EnpfIaCYO4,,,,,,,
das model,https://www.youtube.com/watch?v=qCFIRjycV5Q,https://www.youtube.com/watch?v=KFq2pU21cNU,https://www.youtube.com/watch?v=VJZWKJ_1_mQ,,,,,,,,
dear prudence,https://www.youtube.com/watch?v=I4xw_Dx0pIg,https://www.youtube.com/watch?v=M6rrTROoZIw,,,,,,,,,
demons,https://www.youtube.com/watch?v=pvrkfb1C4tE&ab_channel=ImagineDragonsVEVO,https://www.youtube.com/watch?v=9DLtzc9KLiw&ab_channel=BoyceAvenue,https://www.youtube.com/watch?v=qXymaHXEDa4&ab_channel=JadaFacer,,,,,,,,
don't leave me this way,https://www.youtube.com/watch?v=rUdw7V-FC_Q,https://www.youtube.com/watch?v=1RHBAd5YUR8,,,,,,,,,
don't look back in anger,https://www.youtube.com/watch?v=r8OipmKFDeM&list=PLihZ0w3tYuc8YPiBppyq7mi6ysGLvIcPH&index=6&ab_channel=Oasis,https://www.youtube.com/watch?v=VnE-T8BV8yU&ab_channel=BrokenHearts,https://www.youtube.com/watch?v=4KFcIz6FwMg&ab_channel=BoyceAvenue,https://www.youtube.com/watch?v=nR2YXcT8xvA&ab_channel=TheGuestList,,,,,,,
don't stop me now,https://www.youtube.com/watch?v=HgzGwKwLmgM&ab_channel=QueenOfficial,https://www.youtube.com/watch?v=R423PPGRQE0&ab_channel=YoniSchlesinger,https://www.youtube.com/watch?v=OYfAhKtYIfg&ab_channel=ErikDuijs,https://www.youtube.com/watch?v=FCIPcqSa5wQ&ab_channel=JonnyRossMusic,,,,,,,
