Song name,YouTube URL - Original Song,YouTube URL - Cover Song 1,YouTube URL - Cover Song 2,YouTube URL - Cover Song 3,YouTube URL - Cover Song 4,YouTube URL - Cover Song 5,YouTube URL - Cover Song 6,YouTube URL - Cover Song 7,YouTube URL - Cover Song 8,YouTube URL - Cover Song 9,YouTube URL - Cover Song 10
Ti ti,https://www.youtube.com/watch?v=c5OIYfr5E1A,https://www.youtube.com/watch?v=D4txSYxwnvs,https://www.youtube.com/watch?v=frt7udx9LjU,,,,,,,,
Tora Tora,https://www.youtube.com/watch?v=SIrijoy0iZM,https://www.youtube.com/watch?v=J1CJIevhUr8,,,,,,,,,
Ikariotikos,https://www.youtube.com/watch?v=Roltz_Q_lQ4,https://www.youtube.com/watch?v=AoKPzUvwugE,,,,,,,,,
Exoghinos,https://www.youtube.com/watch?v=MKOdSKHXwEM,https://www.youtube.com/watch?v=8xCUDRrbxHU,https://www.youtube.com/watch?v=pRs0gMmN-Ks,https://www.youtube.com/watch?v=d27gTrPPAyk,,,,,,,
Breathless,https://www.youtube.com/watch?v=ejE69NFNfUU,https://www.youtube.com/watch?v=xhJD-aBCfS0,,,,,,,,,
I love you baby,https://www.youtube.com/watch?v=BuQEQeG3vx4,https://www.youtube.com/watch?v=AiIBKcd4m5Q,https://www.youtube.com/watch?v=Da-97Bcbrro,,,,,,,,
Gucci forema,https://www.youtube.com/watch?v=Mw0rdO8IZB8,https://www.youtube.com/watch?v=AsKPwOs6jzg,,,,,,,,,
Fotia me fotia,https://www.youtube.com/watch?v=Y9LMmqvjTF0,https://www.youtube.com/watch?v=uwPReKYKZJ0,,,,,,,,,
Ego,https://www.youtube.com/watch?v=kzpJPgcXT00,https://www.youtube.com/watch?v=389NkHNzOoM,https://www.youtube.com/watch?v=L69g2chysnA,,,,,,,,
Madame,https://m.youtube.com/watch?v=8BpQkw5a_mU,https://m.youtube.com/watch?v=sLVfG_nnS5w,,,,,,,,,
Mia fotia stin ammo,https://www.youtube.com/watch?v=e80qhyovOnA,https://www.youtube.com/watch?v=nP3RRIdsUqo,,,,,,,,,
Milo gia sena,https://www.youtube.com/watch?v=iSpcID3RT2I,https://www.youtube.com/watch?v=TrsRIvPZMQk,,,,,,,,,
Oi kampanes xtypoun,https://m.youtube.com/watch?v=0Prg7971dlg,https://m.youtube.com/watch?v=KhqNTjbQ71A,,,,,,,,,
Oneiro apatilo,https://www.youtube.com/watch?v=kBnh2GzSDvg,https://www.youtube.com/watch?v=FoYDPCI4baU,,,,,,,,,
Giati,https://m.youtube.com/watch?v=YdfscNpf3G0,https://m.youtube.com/watch?v=iTIhE1U17fU,,,,,,,,,
Sari,https://www.youtube.com/watch?v=CGLJ2ESOvTQ,https://www.youtube.com/watch?v=ap_rCthBzfk,,,,,,,,,
Thelo na se ksanado,https://www.youtube.com/watch?v=GPiPMzVSyYw,https://www.youtube.com/watch?v=NtccSFkAhrM,,,,,,,,,
Ego de mporw,https://www.youtube.com/watch?v=_PXu-RY-iyY,https://www.youtube.com/watch?v=EgmXTmj62ic,,,,,,,,,
Thessaloniki,https://www.youtube.com/watch?v=wrXuGXo8y3M,https://www.youtube.com/watch?v=i50zPZNjA_Q,https://www.youtube.com/watch?v=FO9W_Xx6-Yg,https://www.youtube.com/watch?v=KN4gi9oAxEw,https://www.youtube.com/watch?v=zA62GNttDuw,https://www.youtube.com/watch?v=gwHSH5yoTR4,,,,,
Sinnefa me Pantelonia,https://www.youtube.com/watch?v=ocRgOk3wjCo,https://www.youtube.com/watch?v=ewt2ybYEI08,,,,,,,,,
Xalarose,https://www.youtube.com/watch?v=hcF-SHHquZ4,https://www.youtube.com/watch?v=Yem_iEHiyJ0,,,,,,,,,
Pes to me ena fili,https://m.youtube.com/watch?v=Z89NYWSKWZM,https://m.youtube.com/watch?v=s3bN1_6euhc,,,,,,,,,
Parta ola dika sou,https://www.youtube.com/watch?v=nbjoL2bhQmw,https://www.youtube.com/watch?v=hAVRXsYZsqo,,,,,,,,,
Atofio chrisafi,https://www.youtube.com/watch?v=7urcenmiUrY,https://www.youtube.com/watch?v=RyGlQCNeCW0,,,,,,,,,
Tzini,https://www.youtube.com/watch?v=L2j8KzhY5vo,https://www.youtube.com/watch?v=NKQRg9P7YSU,,,,,,,,,
Tha me zitas,https://www.youtube.com/watch?v=H33RqDO_dgU,https://www.youtube.com/watch?v=t-pdfnHigAw,https://www.youtube.com/watch?v=ERiCRQazbaM,,,,,,,,
